Family,ASW11,ASW15,ASW16,ASW19,ASW20,ASW22,ASW29,ASW2,ASW31,ASW35,ASW37,ASW38,ASW3,ASW45,ASW47,ASW49,ASW50,ASW51,ASW54,ASW56,ASW59,ASW62,ASW64,ASW65,ASW66,ASW67,ASW68,ASW69,ASW73,ASW74,ASW7
Halobacteroidaceae,636,134,0,53,122,41,24,40,775,1172,198,0,38,47,18,0,635,14,39,10,27,218,92,749,28,40,152,126,0,179,19
Tepidanaerobacteraceae,620,85,0,51,42,70,33,93,613,642,128,17,23,27,20,13,566,0,70,0,30,250,77,450,42,50,194,84,0,179,90
Natranaerobiaceae,166,0,0,0,0,11,0,0,0,21,15,0,0,0,0,10,20,0,23,0,0,0,10,37,25,0,46,11,0,0,0
Natranaerofabaceae,163,54,0,22,41,29,11,40,186,227,65,0,11,0,0,0,203,0,28,0,13,82,34,264,54,35,62,51,0,66,29
Koleobacteraceae,73,17,0,18,10,52,18,0,13,30,29,0,0,0,0,0,41,0,24,0,0,31,14,18,11,0,82,58639,0,0,60
Peptoniphilaceae,374311,72541,249,36712,131483,137568,7148,57083,473696,588612,87168,110990,34571,31239,2489,14519,385136,4647,154493,97826,23694,151561,134345,369510,186210,36128,19153,37159,213,103612,48443
Tissierellaceae,6775,1384,0,510,1101,684,135,685,7936,12558,1546,152,373,454,73,160,7218,81,775,158,304,2332,653,7970,744,447,16393,915,0,1750,438
Thermohalobacteraceae,1135,6361,0,75,2930,2922,40,108,52012,80605,8237,24,1701,1076,0,27,149642,0,5105,31,1078,114822,3641,23355,23131,2552,431,128,0,218,108
Gottschalkiaceae,131039,252,0,83,228,104,775,96,1523,1837,300,1440,83,80,13,1167,1337,15,92,1250,57,422,111,1553,148,64,2105,201,0,252,1198
Streptococcaceae,149759,110520,97,12383,20282,21316,7594,38506,197276,225528,34844,7302,9778,8439,1875,7491,109008,1436,13955,6699,6677,40994,16928,216703,23651,11997,27086,18981,970,50679,19356
Lactobacillaceae,10900,593077,11,1210,2145,2286,1129,1534,8875,12772,1058385,3314,1548,4395,186723,495,9324,1889630,1399,423,22175,4094,211127,9827,2346,1111,2847,2152,1065,3547,1824
Carnobacteriaceae,13599,766,0,1701,1004,1280,287,2580,6567,9921,1713,715,614,334,124,247,9167,62,1200,640,443,2822,1273,8467,2983,997,1212,1067,85,2023,451
Aerococcaceae,8868,1452,0,601,616,1426,362,1231,11771,9621,1689,861,346,159,60,604,10307,27,55355,349,330,4475,946,4576,980,845,227,939,26,2599,926
Enterococcaceae,6972,1301,0,681,2990,11164,4673,863,9059,8013,5879,344,455,520,748,375,5750,134,1992,4189,668,3242,5145,7873,1235,456,3778,2387,15,1932,169611
Bacillaceae,21279,5785,16,2368,4522,3446,2580,3276,29842,35611,9636,998,1770,1806,1874,1095,27017,655,3121,814,2053,9877,5475,31674,4392,2253,10856,7276,127,8092,3623
Staphylococcaceae,7904,72643,30,1026,1378,1466,1072,2187,16079,17127,2856,443,1724,599,424,412,7696,352,1935,363,1072,3952,2072,10085,1424,915,2707,1826,138,3535,1556
Paenibacillaceae,13171,2211,0,1046,1421,2642,2866,2866,15770,17018,5591,1121,1004,1158,1326,974,17244,243,6864,678,1203,6814,1959,23521,1567,3112,7192,3732,11,3882,3231
