Genus,Species,ASW11,ASW15,ASW16,ASW19,ASW20,ASW22,ASW29,ASW2,ASW31,ASW35,ASW37,ASW38,ASW3,ASW45,ASW47,ASW49,ASW50,ASW51,ASW54,ASW56,ASW59,ASW62,ASW64,ASW65,ASW66,ASW67,ASW68,ASW69,ASW73,ASW74,ASW7
Thalassobius,Thalassobius gelatinovorus,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
Thalassococcus,Thalassococcus sp.,0,11,0,0,0,28,15,45,30,0,0,0,0,0,0,0,67,0,0,0,0,89,14,0,0,0,0,0,0,0,117
Thalassoglobus,Thalassoglobus polymorphus,0,0,0,0,0,0,0,0,20,30,0,0,0,0,0,0,22,0,0,0,0,0,0,28,0,0,0,0,0,0,0
Thalassolituus,Thalassolituus oleivorans,0,0,0,71,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,49,0,0,0,0
Thalassolituus,Thalassolituus sp.,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,11
Thalassospira,Thalassospira marina,0,0,0,0,0,11,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thalassospira,Thalassospira sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0
Thalassospira,Thalassospira sp.,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Thalassotalea,Thalassotalea sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0
Thalassotalea,Thalassotalea sp.,0,0,0,40,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
Thalassotalea,Thalassotalea sp.,0,0,0,0,0,0,11,0,17,20,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0
Thauera,Thauera aromatica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0
Thauera,Thauera chlorobenzoica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,97,0,0,0,0
Thauera,Thauera humireducens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,31,0,0,58,0,0,0,0,39,0,0,108,0
Thauera,Thauera sp.,0,0,0,0,0,0,0,17,29,0,0,44,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,29
Thauera,Thauera sp.,246,0,0,24,0,150,22,136,94,0,84,128,0,0,0,0,296,40,169,146,0,334,100,0,0,219,147,0,0,283,208
Thaumasiovibrio,Thaumasiovibrio subtropicus,77,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,60,0,0,64,0,47,0,0,0,65,0,0,0,91,0
Thermacetogenium,Thermacetogenium phaeum,47,0,0,0,0,146,16,0,0,0,31,0,0,0,0,0,59,0,57,0,0,0,0,0,0,40,70,0,0,67,0
Thermaerobacter,Thermaerobacter marianensis,0,0,0,0,0,0,84,52,0,13,11,0,0,0,0,0,41,0,29,0,0,20,0,0,0,11,30,0,0,0,18
Thermaerobacter,Thermaerobacter sp.,0,0,0,0,0,0,0,17,40,16,16,0,0,0,0,0,69,0,20,0,0,32,0,0,0,0,32,0,0,0,20
Thermaerobacter,Thermaerobacter sp.,0,31,0,0,0,0,117,0,45,0,21,15,0,0,0,0,19,0,16,0,0,0,14,0,0,0,43,0,0,0,11
Thermanaeromonas,Thermanaeromonas toyohensis,0,0,0,0,10,0,11,0,49,210,22,0,0,0,0,0,48,0,0,0,0,13,10,60,0,0,0,18,0,0,0
Thermanaerosceptrum,Thermanaerosceptrum fracticalcis,0,0,0,0,0,23,27,0,0,30,26,0,0,0,11,0,58,0,0,0,13,24,14,68,13,0,76,28,0,22,101
Thermanaerovibrio,Thermanaerovibrio acidaminovorans,0,0,0,0,0,132,0,44,0,32,0,0,0,0,0,0,44,0,0,0,0,28,10,0,15,0,164,0,0,0,43
