numID,KI_exp,compound,similarity,ASW74,ASW47,ASW20,ASW68,ASW38,ASW54,ASW19,ASW59,ASW50,ASW31,ASW66,ASW35,ASW67,ASW22,ASW2,ASW7,ASW29,ASW37,ASW11,ASW65,ASW56,ASW51,ASW15
91,3000,NA.3000.91,NA,0,741002,0,0,2635745,0,0,0,364924,0,16337,253798,0,383087,0,0,0,0,0,19079,0,0,0
92,3000,NA.3000.92,NA,49387,16151,0,0,55585,0,301335,0,46797,0,386847,0,43522,0,0,155562,1811285,88210,0,83707,0,0,0
93,3000,NA.3000.93,NA,0,4797436,0,0,2799382,0,0,0,441709,0,3210379,657455,0,681846,0,0,0,0,0,1522219,0,0,0
94,2088,NA.2088.94,NA,290145,1755247,388677,0,118199,1138204,0,127649,1727157,0,3878007,1060146,2313456,323224,0,614629,142773,454175,756852,939671,0,952248,1320850
95,2116,NA.2116.95,NA,0,1531380,0,0,0,146116,2027954,0,0,0,213114,188419,605899,0,0,457971,0,0,0,202608,0,0,0
96,2117,NA.2117.96,NA,0,2090471,0,0,0,298845,2973041,0,1177968,0,0,0,0,0,0,0,0,0,391440,0,0,0,257266
97,2638,NA.2638.97,NA,0,319744,0,0,1220872,0,0,0,62481,0,841058,777316,0,131393,0,0,0,0,0,318592,0,0,0
98,3000,NA.3000.98,NA,0,6909208,0,0,4115100,0,0,0,1126150,0,133874,1182173,0,1230705,0,0,0,0,0,3663982,0,0,0
99,3000,NA.3000.99,NA,39114,1194606,0,0,85255,0,104781,0,18735,0,1624510,43042,279357,141679,0,86684,30213,58538,0,160387,0,0,0
100,3000,NA.3000.100,NA,106362,217846,0,0,69915,0,530597,0,45385,0,2725359,33518,981283,102031,0,283325,345063,85757,0,115381,0,0,0
101,2547,NA.2547.101,NA,0,0,0,0,0,0,222840,0,0,42976,0,0,0,0,44560,344215,11527,10673,62290,0,72473,0,0
102,1426,NA.1426.102,NA,268947,484045,273292,0,0,0,0,0,0,0,0,277749,366236,0,0,0,0,365112,0,811395,0,1101303,402364
103,2172,NA.2172.103,NA,42298,0,0,0,0,0,25942,0,0,0,0,0,413431,0,0,22327,23248,49286,0,0,0,0,0
104,2788,NA.2788.104,NA,0,154576,0,0,11065,0,0,0,15557,0,249351,16772,0,12538,0,0,0,0,0,43836,0,0,0
105,1859,NA.1859.105,NA,47195592,23188908,97089500,41674293,28723130,12671056,3785158,6398997,0,0,51849920,7166093,62348736,8665746,55994196,50238786,3309939,37158745,26242636,26833013,10803962,22981202,121653280
106,1398,NA.1398,NA,0,0,0,33486,0,104982,0,0,0,18645,0,0,0,0,0,0,0,0,20282,0,731775,172245,0
107,1692,NA.1692,NA,0,461087,457133,0,0,0,0,0,0,0,0,809349,467548,0,0,0,0,0,0,627482,0,455133,405085
108,1728,NA.1728.108,NA,309437,689620,129544,0,414695,0,220903,124898,232224,102257,218873,429063,446694,249884,251701,535187,0,339362,109880,211890,0,707888,234442
109,1753,NA.1753.109,NA,27376,0,0,0,0,0,30696,0,0,0,0,0,129314,0,0,182141,36118,80594,0,0,0,0,0
110,1759,NA.1759.110,NA,42684,0,0,0,0,0,11612,0,0,0,0,0,11745,0,0,101727,29632,23464,0,0,0,0,0
111,2013,NA.2013.111,NA,0,94549,0,124353,60400,31588,0,0,12506,0,159391,22919,613874,18157,111725,0,0,0,63517,48385,63958,105473,0
112,2477,NA.2477.112,NA,0,12077266,0,0,18801797,0,0,0,15610599,0,0,19525771,0,14681323,0,5178060,0,0,0,10270625,0,0,0
113,1601,NA.1601.113,NA,62832182,0,8076253,0,0,0,0,0,0,0,12474218,0,82106140,0,0,57704404,0,51708006,0,0,0,0,8477627
114,1607,NA.1607.114,NA,7215668,5082200,0,0,6018709,0,0,0,0,0,8617671,0,12613744,0,0,5822729,0,5229880,0,0,0,0,0
115,1703,NA.1703.115,NA,0,210170,0,0,0,0,0,0,237962,0,325102,258019,0,0,0,245887,0,233824,0,264570,0,447037,0
